NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
services             pod/cfs-ara-postgres-2                                                3/3     Running     0               2d8h
services             pod/cfs-c185920a-1094-47bc-88a6-06badac5d78d-lqvh7                    0/3     Completed   0               2d6h
services             pod/cfs-c8a14f0a-d7c2-4473-9bd3-c0a94864f02e-vjh4h                    0/3     Completed   0               2d8h
services             pod/cfs-d1a9b280-8cb5-437b-848f-282f7c5bf602-lxcv7                    0/3     Completed   0               2d11h
services             pod/cfs-hwsync-agent-b4b6657d5-5f9rz                                  2/2     Running     0               2d9h
services             pod/cfs-trust-68fc9fcdb4-sp44l                                        2/2     Running     2 (2d10h ago)   2d10h
services             pod/cos-config-service-c9b948f98-zn2t5                                2/2     Running     0               2d10h
services             pod/cray-bos-75bb8ddbf9-g94cv                                         2/2     Running     0               2d10h
services             pod/cray-bos-75bb8ddbf9-v8z4z                                         2/2     Running     0               2d10h
services             pod/cray-bos-db-788bcbc84c-6xkwc                                      2/2     Running     0               2d10h
services             pod/cray-bos-operator-actual-state-cleanup-576b95fdc6-bsdg4           2/2     Running     0               2d10h
services             pod/cray-bos-operator-configuration-7856b8fc78-qbd68                  2/2     Running     0               2d10h
services             pod/cray-bos-operator-discovery-59ff8c8554-lshdd                      2/2     Running     0               2d10h
services             pod/cray-bos-operator-power-off-forceful-7d75d64556-gb2px             2/2     Running     0               2d10h
services             pod/cray-bos-operator-power-off-graceful-756657cbfb-6frh7             2/2     Running     0               2d10h
services             pod/cray-bos-operator-power-on-7b8ccc7554-2mvt2                       2/2     Running     0               2d10h
services             pod/cray-bos-operator-session-cleanup-6c7448798b-kjs4h                2/2     Running     0               2d10h
services             pod/cray-bos-operator-session-completion-6576ff58b-d98zt              2/2     Running     0               2d10h
services             pod/cray-bos-operator-session-setup-6b9fc44c88-zp5b4                  2/2     Running     0               2d10h
services             pod/cray-bos-operator-status-57bc98cb8d-xrd46                         2/2     Running     0               2d10h
services             pod/cray-bss-79785c6d89-fdcn4                                         2/2     Running     0               2d10h
services             pod/cray-bss-79785c6d89-kq8vf                                         2/2     Running     0               2d10h
services             pod/cray-bss-79785c6d89-wbqrc                                         2/2     Running     0               2d11h
services             pod/cray-bss-bitnami-etcd-0                                           2/2     Running     0               2d10h
services             pod/cray-bss-bitnami-etcd-1                                           2/2     Running     0               2d10h
services             pod/cray-bss-bitnami-etcd-2                                           2/2     Running     0               2d11h
services             pod/cray-bss-bitnami-etcd-snapshotter-28846320-gbzvd                  0/2     Completed   0               27m
services             pod/cray-capmc-6c5d69f685-4m44m                                       2/2     Running     0               2d10h
services             pod/cray-capmc-6c5d69f685-hv798                                       2/2     Running     0               2d9h
services             pod/cray-capmc-6c5d69f685-wlgr2                                       2/2     Running     0               2d10h
services             pod/cray-cfs-api-557fb98d57-2hwd5                                     2/2     Running     1 (2d9h ago)    2d9h
services             pod/cray-cfs-api-557fb98d57-54728                                     2/2     Running     0               2d10h
services             pod/cray-cfs-api-db-ff7f66d5d-lmsvw                                   2/2     Running     0               2d10h
services             pod/cray-cfs-batcher-6c66f6887-4rfr5                                  2/2     Running     0               2d10h
services             pod/cray-cfs-operator-854847c8c-s25lf                                 2/2     Running     0               2d9h
services             pod/cray-console-data-bbff78774-2jp6w                                 2/2     Running     0               2d10h
services             pod/cray-console-data-postgres-0                                      3/3     Running     0               2d8h
services             pod/cray-console-data-postgres-1                                      3/3     Running     0               2d6h
services             pod/cray-console-data-postgres-2                                      3/3     Running     0               2d6h
services             pod/cray-console-node-0                                               3/3     Running     0               2d10h
services             pod/cray-console-node-1                                               3/3     Running     5 (2d6h ago)    2d10h
services             pod/cray-console-operator-79b4c7dd4b-tx5v6                            2/2     Running     0               2d9h
services             pod/cray-cps-5684977999-88dpx                                         2/2     Running     0               2d9h
services             pod/cray-cps-5684977999-8j6jm                                         2/2     Running     0               2d10h
services             pod/cray-dhcp-kea-56c5bb5789-72rcl                                    3/3     Running     0               2d9h
services             pod/cray-dhcp-kea-56c5bb5789-96vj5                                    3/3     Running     0               2d10h
services             pod/cray-dhcp-kea-56c5bb5789-xjvwq                                    3/3     Running     2 (2d6h ago)    2d10h
services             pod/cray-dhcp-kea-helper-28846338-8qjf7                               0/2     Completed   0               9m49s
services             pod/cray-dhcp-kea-helper-28846341-9pbzs                               0/2     Completed   0               6m49s
services             pod/cray-dhcp-kea-helper-28846344-84b5m                               0/2     Completed   0               3m49s
services             pod/cray-dhcp-kea-helper-28846347-xs6rw                               1/2     NotReady    0               49s
services             pod/cray-dhcp-kea-postgres-0                                          3/3     Running     0               2d6h
services             pod/cray-dhcp-kea-postgres-1                                          3/3     Running     0               2d6h
services             pod/cray-dhcp-kea-postgres-2                                          3/3     Running     0               2d11h
services             pod/cray-dns-powerdns-645654c6f6-4g8v6                                2/2     Running     2 (2d9h ago)    2d9h
services             pod/cray-dns-powerdns-postgres-0                                      3/3     Running     0               2d8h
services             pod/cray-dns-powerdns-postgres-1                                      3/3     Running     0               2d6h
services             pod/cray-dns-powerdns-postgres-2                                      3/3     Running     0               2d6h
