NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
opa                  cray-opa-ingressgateway-customer-user-rs9m5                       1/1     Running     0               4d10h   10.41.0.11    ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-g9wjv                                     1/1     Running     1 (22h ago)     4d11h   10.34.0.2     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-2mwmk                                 1/1     Running     0               4d11h   10.44.0.11    ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gd987                                 1/1     Running     0               16h     10.46.0.4     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gj65t                                 1/1     Running     1 (45h ago)     4d12h   10.36.0.2     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gpzjz                                 1/1     Running     0               4d10h   10.41.0.4     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-trx9n                                 1/1     Running     1 (22h ago)     4d11h   10.34.0.8     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-sv4zc                                     1/1     Running     1 (45h ago)     4d12h   10.36.0.10    ncn-w001   <none>           <none>
operators            cray-kiali-kiali-operator-66645594fc-p5prx                        1/1     Running     0               4d10h   10.44.0.20    ncn-w003   <none>           <none>
operators            strimzi-cluster-operator-569c45b5d-p5cf7                          1/1     Running     1 (4d7h ago)    4d10h   10.41.0.46    ncn-w004   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-7sv6b                             2/2     Running     0               47h     10.41.0.77    ncn-w004   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-hvbtx                             2/2     Running     3 (4d10h ago)   4d10h   10.44.0.46    ncn-w003   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-nlv7d                             2/2     Running     1 (23h ago)     23h     10.36.0.68    ncn-w001   <none>           <none>
services             cfs-0e2f6e2b-b3b6-43e3-a546-9e4161e76007-stdln                    0/3     Completed   0               45h     10.41.0.90    ncn-w004   <none>           <none>
services             cfs-0e4b1e69-0739-4bb0-9250-2c1342925a1c-xtr5d                    0/3     Completed   0               22h     10.36.0.74    ncn-w001   <none>           <none>
services             cfs-319212e1-0cad-4e2b-907b-9fedec35e082-zzgr7                    0/3     Completed   0               4d10h   10.41.0.12    ncn-w004   <none>           <none>
services             cfs-41ab5ec8-167d-4b1d-9cdb-8ba0f2b295ec-44nwr                    0/3     Completed   0               4d9h    10.41.0.71    ncn-w004   <none>           <none>
services             cfs-5e165e1e-5057-4f09-a81f-1225b10a5224-hj26v                    0/3     Completed   0               16h     10.41.0.105   ncn-w004   <none>           <none>
services             cfs-6e8dd436-412f-43ff-9467-2fa55812d992-8lfzg                    0/3     Completed   0               10h     10.46.0.14    ncn-w005   <none>           <none>
services             cfs-9996c04d-89fd-4c58-9c89-8f4875ed140a-9twtc                    0/3     Completed   0               17h     10.34.0.25    ncn-w002   <none>           <none>
services             cfs-9e837c7a-df93-4f06-b77f-d3a6a93f3e4e-qj92f                    0/3     Completed   0               4d11h   10.44.0.13    ncn-w003   <none>           <none>
services             cfs-ara-7f56fdf8b4-k5snh                                          2/2     Running     1 (23h ago)     23h     10.36.0.47    ncn-w001   <none>           <none>
services             cfs-ara-postgres-0                                                3/3     Running     0               4d7h    10.41.0.70    ncn-w004   <none>           <none>
services             cfs-ara-postgres-1                                                3/3     Running     0               4d7h    10.44.0.19    ncn-w003   <none>           <none>
services             cfs-ara-postgres-2                                                3/3     Running     0               16h     10.36.0.73    ncn-w001   <none>           <none>
services             cfs-hwsync-agent-b4b6657d5-5f9rz                                  2/2     Running     6 (47h ago)     4d10h   10.41.0.45    ncn-w004   <none>           <none>
services             cfs-trust-68fc9fcdb4-sp44l                                        2/2     Running     2 (4d10h ago)   4d10h   10.44.0.24    ncn-w003   <none>           <none>
services             cos-config-service-c9b948f98-js22r                                2/2     Running     0               23h     10.36.0.38    ncn-w001   <none>           <none>
services             cray-bos-75bb8ddbf9-6m26g                                         2/2     Running     0               23h     10.36.0.70    ncn-w001   <none>           <none>
services             cray-bos-75bb8ddbf9-g94cv                                         2/2     Running     0               4d10h   10.44.0.14    ncn-w003   <none>           <none>
